Doc,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20
1,0.01,0.01,1.386771,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.558313,0.01,0.01,7.084918,0.01,0.01,0.01,0.01,0.01,0.01
2,0.01,0.01,0.01,0.01,16.227564,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,5.792436,0.01,0.01,0.01,0.01,0.01,0.01
3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.01,0.01,0.01,0.01,0.01,0.01,0.01
4,0.01,0.01,35.16103,0.01,0.01,0.01,0.01,12.290505,0.01,0.01,2.934534,0.01,0.01,36.653919,0.01,0.01,0.01,0.01,0.01,0.01
5,0.01,0.01,0.01,0.01,10.56819,0.01,0.01,13.827177,0.01,0.01,0.01,0.01,0.01,28.634634,0.01,0.01,0.01,0.01,0.01,0.01
6,0.01,0.01,0.01,0.01,14.510978,0.01,0.01,2.039503,1.479518,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
7,0.01,0.01,0.01,0.01,0.01,0.01,0.01,38.147354,11.872639,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
8,0.01,0.01,0.01,0.01,14.336366,0.01,0.01,0.01,0.01,0.01,8.683637,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
9,0.01,0.01,14.20722,0.01,30.436968,0.01,0.01,12.385816,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
10,0.912161,0.01,34.197502,0.01,12.342705,0.01,0.01,0.01,2.968415,0.01,0.01,0.01,0.01,13.629215,0.01,1.009995,0.01,0.01,0.01,0.01
11,0.01,0.01,0.01,0.01,27.381111,0.01,0.01,7.371965,6.555248,0.01,0.01,0.01,0.01,15.731677,0.01,0.01,0.01,0.01,0.01,0.01
12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.36572,0.01,0.01,1.10122,0.01,0.01,11.630043,0.01,1.009998,0.943019,0.01,0.01,0.01
13,0.01,0.01,0.01,0.01,18.469522,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,23.405338,0.01,0.01,3.23948,0.01,0.01,3.925655
14,0.01,0.01,1.045375,2.009976,14.869593,0.01,0.01,4.481197,0.01,0.01,15.223369,5.165323,0.01,110.275177,0.01,0.01,0.01,0.01,0.01,0.01
15,0.01,0.01,0.01,0.01,7.956375,0.01,1.00997,7.346915,2.668652,0.01,0.01,0.01,0.01,98.068214,1.009887,0.01,0.01,0.01,0.01,0.01
16,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.095244,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,10.924756,0.01,0.01,0.01
17,0.01,0.01,0.01,0.01,6.44189,0.01,0.01,22.652258,0.01,0.01,0.01,10.568716,0.01,0.01,2.377134,0.01,0.01,0.01,0.01,0.01
18,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7.337328,1.036978,0.01,0.01,0.01,0.01,0.01,0.655693,0.01,0.01,0.01,0.01,0.01
19,0.01,0.01,0.01,0.01,18.985783,0.01,0.01,6.78422,0.01,0.01,0.01,0.01,0.01,7.693946,1.57605,0.01,0.01,0.01,0.01,0.01
20,0.01,0.01,0.01,0.01,1.230571,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.009994,84.747322,6.147289,1.009954,1.472365,0.01,1.012704,5.449802
21,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7.010001,0.01,0.01,0.01,0.01,0.01,0.01
22,0.01,0.01,6.026955,0.01,12.251048,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,6.751997,0.01,0.01,0.01,0.01,0.01,0.01
23,0.01,0.01,0.01,0.01,0.01,0.01,0.01,14.358215,0.01,0.01,0.01,1.143242,0.01,14.528543,0.01,0.01,0.01,0.01,0.01,0.01
24,0.01,0.01,0.01,0.01,33.707947,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,14.312047,0.01,0.01,0.01,0.01,0.01,0.01
25,0.01,0.01,0.01,0.01,0.01,0.01,0.01,75.119781,0.01,0.01,0.01,0.01,0.01,66.927414,0.01,0.01,7.723983,0.01,0.01,20.268797
26,0.01,0.01,0.01,0.01,2.37111,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7.730358,0.01,0.01,2.928532,0.01,0.01,0.01
27,0.01,0.01,0.01,0.01,0.01,0.01,0.01,20.551395,0.01,0.01,0.01,0.01,0.01,18.468607,0.01,0.01,0.01,0.01,0.01,0.01
28,0.01,0.01,9.971802,0.01,10.468338,0.01,0.01,299.682861,0.01,0.01,0.01,49.319916,0.01,21.22994,0.01,0.01,0.01,0.01,0.01,1.387152
29,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.266469,0.01,0.01,0.01,1.269902,0.01,11.493628,0.01,0.01,0.01,0.01,0.01,2.010003
30,0.01,0.01,13.389006,0.01,0.01,0.01,0.01,4.657654,0.01,0.01,0.01,0.01,0.01,8.983339,0.01,1.01,0.01,0.01,0.01,0.01
31,0.01,0.01,0.01,0.01,1.178755,0.01,0.01,0.01,0.01,0.01,3.849169,2.922448,0.01,31.089628,0.01,0.01,0.01,0.01,0.01,0.01
32,0.01,0.01,0.754453,0.01,9.952791,0.01,0.01,12.991244,49.195869,0.01,2.117202,2.844011,0.01,18.214428,0.01,0.01,0.01,1.00998,0.01,0.01
33,0.01,0.01,0.01,0.01,7.60828,0.01,0.01,27.200108,42.429955,0.01,0.01,54.917576,1.888957,103.020416,0.01,0.01,0.01,1.004705,0.01,0.01
34,0.01,0.01,0.01,0.01,14.162329,0.01,0.01,0.01,0.01,0.01,0.01,1.101757,0.01,0.01,0.01,0.01,7.765915,0.01,0.01,0.01
35,0.01,0.01,0.01,0.01,1.728901,0.01,0.01,12.291098,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.010002,0.01,0.01
36,0.01,0.01,0.01,0.01,0.01,0.01,0.01,57.630741,0.01,0.01,0.01,9.389257,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
37,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.90563,0.01,0.01,0.01,0.01,3.11437,0.01,0.01,0.01,0.01,0.01,0.01
38,0.01,0.01,4.210962,0.01,20.157879,0.01,0.01,86.869476,47.00993,0.01,0.01,0.01,4.82348,104.44799,0.01,0.01,0.01,0.01,1.501709,1.058586
39,0.01,0.01,1.252775,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,15.767227,0.01,0.01,0.01,0.01,0.01,0.01
40,0.01,0.01,1.09423,0.01,4.399882,0.01,1.010003,66.669022,0.01,0.01,0.01,1.452789,0.01,41.434067,0.01,0.01,0.01,0.01,0.01,0.01
41,0.01,0.01,0.01,0.01,0.01,0.01,0.01,18.911245,0.01,0.01,0.01,0.01,0.01,7.806931,0.01,0.01,0.01,0.01,1.311825,0.01
42,0.01,0.01,0.01,0.01,0.01,0.01,0.01,23.802792,0.01,0.01,0.01,0.01,0.01,15.217211,0.01,0.01,0.01,0.01,0.01,0.01
43,0.01,0.01,0.01,0.01,1.885637,0.01,0.01,40.512527,48.428436,0.01,0.01,54.269447,6.892551,166.476639,0.01,0.01,0.01,0.01,1.477562,2.13723
44,0.01,0.01,16.985622,0.01,3.455248,0.01,0.01,6.244527,0.01,0.01,0.01,0.01,0.01,15.3546,0.01,0.01,0.01,0.01,0.01,0.01
45,0.01,0.01,3.457862,0.01,0.01,0.01,0.01,1.194253,0.01,0.01,0.01,0.01,0.01,14.2482,0.01,0.01,0.01,0.01,0.01,2.139687
46,0.01,0.01,14.393427,0.01,5.367069,0.01,0.01,17.168558,0.01,0.01,0.01,0.01,0.01,7.118187,0.01,0.01,0.01,0.01,0.01,2.002758
47,0.01,0.01,7.231511,0.01,13.812489,0.01,0.01,20.986,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
48,0.01,0.01,0.01,0.01,11.094721,0.01,0.01,0.01,10.629368,0.01,0.01,0.01,0.01,15.689159,0.01,0.946898,0.01,0.01,0.01,2.689853
49,0.01,0.01,0.01,0.01,0.01,0.01,0.01,22.944708,0.01,0.01,0.01,0.01,0.01,25.075298,0.01,0.01,0.01,0.01,0.01,0.01
50,0.01,0.01,1.523147,0.01,14.03551,0.01,0.01,227.371811,0.01,0.01,0.01,84.109589,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
51,0.01,0.01,1.182647,0.01,0.01,0.01,0.01,2.441281,0.01,0.01,0.01,0.01,0.01,9.513057,0.01,0.01,0.01,0.01,0.903015,0.01
52,0.01,0.01,27.812378,0.01,0.01,0.01,0.01,27.133675,0.01,0.01,0.01,0.01,0.01,46.083908,0.01,0.01,0.01,0.01,1.010034,0.01
53,2.571679,0.01,28.732023,3.010025,8.542397,1.010002,0.01,64.375992,0.01,0.01,0.01,0.01,0.01,59.198555,0.01,0.01,3.639303,0.01,0.01,0.01
54,0.01,1.010022,6.278368,4.010193,8.352948,2.010082,0.01,14.424742,0.01,0.01,0.01,0.01,0.01,55.275398,0.01,0.01,6.718229,0.01,0.01,0.01
55,0.01,0.01,0.01,0.01,2.411534,0.01,0.01,126.641441,1.420356,0.01,0.01,0.01,0.01,32.566654,0.01,0.01,0.01,0.01,0.01,0.01
56,0.01,0.01,9.671515,1.009979,55.740097,0.01,0.01,18.356714,7.984609,0.01,126.211922,1.448988,0.01,127.055351,20.543394,0.01,1.077304,0.01,0.01,0.01
57,0.01,0.01,0.01,0.01,0.01,0.01,0.01,20.010002,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
58,0.01,0.01,6.010015,0.01,2.27754,0.01,0.01,0.01,0.01,0.01,0.01,6.883398,0.01,11.869045,0.01,0.01,0.01,0.01,0.01,0.01
59,0.01,0.01,0.01,0.01,0.01,0.01,0.01,15.073832,0.01,0.01,0.01,0.01,0.01,7.946169,0.01,0.01,0.01,0.01,0.01,0.01
60,0.01,0.01,0.01,0.01,8.804588,0.01,0.01,0.01,0.01,0.01,2.511221,0.01,0.01,7.714191,0.01,0.01,0.01,0.01,0.01,0.01
61,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,6.667042,0.01,0.01,3.686561,0.01,11.676397,0.01,0.01,0.01,0.01,0.01,0.01
62,0.01,0.01,0.01,0.01,0.01,0.01,0.01,22.534208,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.485792,0.01,0.01,0.01
63,0.01,0.01,0.01,0.01,1.899475,0.01,2.01,0.01,0.01,0.01,0.01,0.01,0.01,32.120525,0.01,0.01,0.01,0.01,0.01,0.01
64,0.01,0.01,0.01,0.01,0.01,0.01,0.01,40.915974,0.01,0.01,2.104022,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
65,0.01,0.01,0.01,0.01,24.71817,0.01,0.01,20.303833,33.771652,0.01,7.629053,70.990623,1.862811,94.91143,2.892397,0.01,0.01,0.01,0.01,0.01
66,0.01,0.01,0.01,0.01,15.830284,0.01,0.01,30.138237,0.01,0.01,0.01,0.01,0.01,12.995494,0.01,0.01,0.01,0.01,1.075984,0.01
67,0.01,0.01,5.839427,2.010021,0.01,0.01,0.01,20.277231,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.913321,0.01,0.01,0.01
68,0.01,0.01,0.01,0.01,11.37961,0.01,0.01,11.677331,28.31526,0.01,5.155632,104.621437,1.904059,0.01,0.01,0.01,2.016665,0.01,0.01,0.01
69,0.01,0.01,38.797478,11.010102,58.770966,0.01,0.01,97.477669,0.01,1.010003,0.01,0.01,1.009919,37.718479,0.01,0.01,5.285374,0.01,0.01,0.01
70,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7.719792,0.01,0.01,0.01,0.01,0.01,5.300209,0.01,0.01,0.01,0.01,0.01,0.01
71,0.01,0.01,0.01,0.01,0.01,0.01,0.01,10.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
72,0.01,0.01,0.01,0.01,32.977852,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,17.042149,0.01,0.01,0.01,0.01,0.01,0.01
73,0.01,0.01,1.11196,0.01,8.220569,0.01,0.01,12.039587,0.01,0.01,0.01,4.667885,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
74,1.50032,0.01,17.124687,1.009978,5.533223,0.01,0.01,39.074783,5.405219,0.01,0.01,0.01,0.01,5.421791,1.009993,0.01,0.01,0.01,0.01,0.01
75,1.009836,0.01,0.01,0.01,139.239288,0.01,0.01,14.797577,97.884598,0.01,6.1641,193.748749,1.640819,78.366615,0.01,0.01,0.01,0.01,1.093816,1.154381
76,0.01,0.01,0.01,0.01,0.01,0.01,1.01,0.01,0.01,0.01,0.01,0.01,0.01,22.251654,1.768344,0.01,0.01,0.01,0.01,0.01
77,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.474361,0.01,0.01,0.01,8.96207,0.01,76.593575,0.01,0.01,0.01,0.01,0.01,0.01
78,0.01,0.01,6.77239,0.01,21.58847,0.01,0.01,44.044315,3.408296,0.01,15.653626,7.704969,0.01,6.897932,0.01,0.01,0.01,0.01,0.01,0.01
79,0.01,0.01,0.01,0.01,91.553825,0.01,0.01,0.01,2.548548,0.01,12.459786,82.135506,0.01,5.273921,3.088424,0.01,0.01,0.01,0.01,0.01
80,0.01,0.01,0.01,0.01,50.70768,0.01,0.01,5.05393,0.01,0.01,0.01,6.162516,0.01,9.115869,0.01,0.01,0.01,0.01,0.01,0.01
81,0.01,0.01,0.01,0.01,10.05689,0.01,0.01,81.581726,0.01,0.01,0.01,0.01,0.01,25.864748,0.01,0.01,1.536628,0.01,0.01,0.01
82,0.01,0.01,6.290427,0.01,14.632675,0.01,0.01,13.370682,2.166981,0.01,0.01,0.01,0.01,0.01,3.589231,0.01,0.01,0.01,0.01,0.01
83,0.01,0.01,0.01,0.01,37.547733,0.01,0.01,0.01,0.01,0.01,10.4322,2.772401,0.01,0.01,1.287657,0.01,0.01,0.01,0.01,0.01
84,0.01,0.01,0.01,0.01,0.01,0.01,0.01,20.503654,0.01,0.01,0.01,3.822767,0.01,14.703577,0.01,0.01,0.01,0.01,0.01,0.01
85,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,43.777519,0.01,5.242483,0.01,0.01,0.01,0.01,0.01,0.01
86,0.01,0.01,0.01,0.01,4.434881,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7.585121,0.01,0.01,0.01,0.01,0.01,0.01
87,0.01,0.01,0.01,0.01,7.716996,0.01,0.01,0.01,0.01,0.01,2.303005,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
88,0.01,0.01,6.654378,0.01,0.01,0.01,0.01,75.213608,0.01,0.01,0.01,9.162029,3.009994,0.01,0.01,0.01,0.01,0.01,0.01,0.01
89,0.01,0.01,0.01,0.01,2.782291,0.01,0.01,7.045675,0.01,0.01,0.01,4.202029,0.01,0.01,2.010007,0.01,0.01,0.01,0.01,0.01
90,0.01,0.01,0.01,0.01,96.476448,0.01,1.009892,0.01,0.01,0.01,0.01,0.01,2.926376,17.950787,1.330029,0.01,4.366481,0.01,0.01,0.01
